id,name,address,reviewcnt,rate,price,phone,cuisine,score
--xl8O3MKYoJ3FP8dNvmaw,Carifesta Restaurant,12615 Liberty Ave South Richmond Hill NY 11419,22,4,1,(718) 322-2210,Caribbean,0
-09Oc2D14vRnmirPh0vlXw,Cracker Barrel Old Country Store,110 Hancock Ln Mount Holly NJ 08060,82,3,2,(609) 265-9133,American (Traditional),0
-0bdnX762vdTb9lI00etvA,Brooklyn Burgers & Beer,259 5th Ave Brooklyn NY 11215,243,4,2,(718) 788-1458,Gastropubs,0
-0bpc5pvK6siYMIlCSmXWg,Emily,919 Fulton St Brooklyn NY 11238,573,4,2,(347) 844-9588,Pizza,0
-0rMc_wb4gi6_sai0SadsQ,Kenta Sushi,39-23 Bell Blvd Bayside NY 11361,70,3.5,2,(718) 225-4898,Asian Fusion,0
-134ZvJ4lgiqx-sjRBWQ9g,Totto Ramen,366 W 52nd St New York NY 10019,4764,4,2,(212) 582-0052,Ramen,1
-261d_hEZlczqgfqf9axog,A1 Sushi Cafe,166 Pearl St New York NY 10005,16,2.5,0,(212) 952-1919,Japanese,0
-2jJqdCnl9BbdknLJm3NHA,Great Wall Kitchen,4341 Main St Flushing NY 11355,13,3.5,1,(718) 359-2393,Chinese,0
-4IzKUlUCEyW9AgZ9ZTCFw,Bareburger,32 Middleneck Rd Great Neck NY 11021,229,4,2,(516) 441-5711,Burgers,0
-58--bg-KKUNArp18U4llA,da Umberto,107 W 17th St New York NY 10011,140,4,3,(212) 989-0303,Italian,0
-5YFAJdt-uMX5F8BSx1JRQ,Stone Street Historic District,Stone St New York NY 10004,6,4.5,0,,Landmarks & Historical Buildings,0
-6409d3I9znnDwVH497ulA,The HipPea,2023 E 4th St Long Beach CA 90814,406,4.5,1,(562) 343-7722,Falafel,0
-68EJ6yIbtfPUdWXwUnlEw,Bread & Joe,618 4th Ave Brooklyn NY 11215,76,4.5,1,(516) 945-9711,Coffee & Tea,0
-6K4x5d3IfeF1LMcOXmJIw,Revel Restaurant & Bar,835 Franklin Ave Garden City NY 11530,328,4,2,(516) 246-9111,Bars,0
-6tSx9IXwt1btreBtcyZ0g,Würstbar,516 Jersey Ave Jersey City NJ 07302,156,4.5,2,(201) 479-8396,Beer Bar,0
-7Dq_NtTyd7WV-Nt1f-o9A,Krispy Krunchy Chicken,179-33 Hillside Ave Jamaica NY 11432,25,4,1,(347) 561-9139,Cajun/Creole,0
-7PgxPVUGZh__U3CxRFKxg,Trinidad Golden Place Restaurant,788 Nostrand Ave Brooklyn NY 11216,93,4,1,(718) 735-7065,Chinese,0
-7T8hkE_Vjxl9AsBVakEdA,Lin Ze Xu Statue,Kimlau Square E Broadway at Chatham Square New York NY 10038,1,4,0,,Landmarks & Historical Buildings,0
-7iUpGTNDdy4WjxLGYp-_g,Trattoria Italienne,19 W 24th St New York NY 10010,65,4,3,(212) 600-5139,Italian,0
-8DN9JN07jLnDEPi19cSzw,Building on Bond,112 Bond St Brooklyn NY 11217,355,3.5,2,(347) 853-8687,American (New),0
-8V4jeYTDSVOTKZFFLsGjQ,Himawari,116 E Park Ave Long Beach NY 11561,134,4,2,(516) 431-4768,Sushi Bars,0
-8_vEcBA2Lqd8786S-Ss-g,Novita Restaurant,102 E 22nd St New York NY 10010,269,4,3,(212) 677-2222,Italian,0
-8nEZ20KDfr4PPH47MrAOA,La Colombe Coffee,270 Lafayette St New York NY 10012,597,4.5,2,(212) 625-1717,Coffee & Tea,0
-9NO2IDCJMyNGZMAQ1-VQw,NY Pizza Suprema,413 8th Ave New York NY 10001,1467,4,1,(212) 594-8939,Pizza,0
-AD92wSIEaML5_fz8XF48A,Number Nine,2118 E 4th St Long Beach CA 90814,885,3.5,2,(562) 434-2009,Vietnamese,0
-AixNVwQogQlGjWKttuw5w,Double Dutch Espresso,2194 Frederick Douglass Blvd New York NY 10026,180,4,2,(646) 429-8834,Bagels,0
-Aq1m9V7yVQCBCVBPDf-Lg,Jerome Pizza,21 Bedford Park Blvd E Bronx NY 10468,45,4,1,(718) 933-3455,Pizza,0
-BOAKHyKKAXE1WhuVpMFkQ,The Good Fork,391 Van Brunt St Brooklyn NY 11231,373,4,2,(718) 643-6636,American (New),0
-BP_Z3nW9Gb7CbwU2Nec0A,S & M Polish Deli,1214 Forest Ave Staten Island NY 10310,3,5,0,(718) 818-8348,Delis,0
-BWRdjHW6CtMGIRLMxEVQQ,Bar Masa,10 Columbus Cir Fl 4 New York NY 10019,162,3.5,4,(212) 823-9800,Japanese,0
-BmS1FH3DSK6fSifIt8GgQ,Nurnberger Bierhaus,817 Castleton Ave Staten Island NY 10310,170,4.5,2,(718) 816-7461,German,0
-CSgPwd4N_xQo7Z4JRG1yA,Lorimer Market,620 Lorimer St Brooklyn NY 11211,165,4.5,1,(718) 389-2691,Meat Shops,0
-CiuESq1Pb0_x2TGi74oyg,Villa Pizza,2200 Mt Holly Rd Ste 12 Burlington NJ 08016,28,4,1,(609) 386-6622,Pizza,0
-Cyaz8MWTEg0lHANpVntiA,John J. Delury Senior Plaza,Fulton St And Gold St New York NY 10038,1,3,0,,Parks,0
-E5TkKjSiBgRLFjhIj-jMw,The Cabana,1034 W Beech St Long Beach NY 11561,126,2.5,2,(516) 889-1345,Bars,0
-EAAJsPWEIAm-ygFFY-Rrg,Min Jiang Restaurant,95 E Broadway New York NY 10002,3,2,0,(212) 766-3313,Chinese,0
-Exv1AEsaKU6Cdb2TO_ZUg,The Lobster Club,98 E 53rd St New York NY 10022,33,4,4,(212) 375-9001,Sushi Bars,0
-G5Bl97kXbL2SgzO6UodiA,La Mangeoire,1008 2nd Ave New York NY 10022,195,3.5,3,(212) 759-7086,French,0
-GAe9kEjajWOxu10IMkkCw,Michael's Pizzeria,210 E 3rd St Ste C Long Beach CA 90802,611,4,2,(562) 491-2100,Pizza,0
-Gc5sTFxoXM3Tiv_dkSJZg,Cecconi's Dumbo,55 Water St Brooklyn NY 11201,247,3,3,(718) 650-3900,Italian,0
-IhTjhyw-S9SD9j58mUTNA,William's Restaurant and Bar,52 William St New York NY 10005,3,2.5,4,(212) 859-2200,American (New),0
-J8VuX3wGrYSOBu2G0hMsw,Katsu-Hama,11 E 47th St New York NY 10017,1067,4,2,(212) 758-5909,Japanese,0
-JBFRO2z1Fr6og-3VGYRxQ,Black Iris,228 Dekalb Ave Brooklyn NY 11205,259,4,2,(718) 852-9800,Middle Eastern,0
-JPtuF_UEDno3F7ecmPTQA,Anthony's Pizza Town,252 Rt 130 Bordentown NJ 08505,34,4,1,(609) 298-0109,Pizza,0
-JXnU5QdCHBc6oPHXKwz_w,Yedang,210-03 Northern Blvd Bayside NY 11361,31,4,2,(718) 631-0088,Cafes,0
-KrQ1gOiyXCbffsWyc5SNQ,The Leopard at des Artistes,1 W 67th St New York NY 10023,188,4,3,(212) 787-8767,Italian,0
-L7j5gdIy_AFJMvEs9FK7Q,Lamb Noodle Soup,41-28 Main St Golden Mall Flushing NY 11355,158,4.5,1,(412) 862-4678,Chinese,0
-LnLuErIMaogDRh996UU1w,Blend Coffee House,1033 Broad St Bloomfield NJ 07003,71,4.5,1,(973) 893-5733,Coffee & Tea,0
-MDpSeMiCsvfz9TueedWwg,La Colombe Coffee,67 Wall St New York NY 10005,110,4.5,2,(212) 220-0415,Coffee & Tea,0
-MUoIns0mLKp_AaV0cREdw,Amazing Broadway Chicken,140 Broadway Ave New York NY 10005,1,5,0,,Asian Fusion,0
-Mc1KIBUVTdF_6vpma0M1A,Parlay Gastropub,210 Merrick Rd Rockville Centre NY 11570,431,3.5,2,(516) 442-2600,Gastropubs,0
-NUQqUG06oMpN_RCz1YcXw,Ponte Mollo,96 Northern Blvd Great Neck NY 11021,49,4.5,3,(516) 829-0005,Wine Bars,0
-NglVrPdjl3dG-z8ZBzJyQ,The Wilky,108 Patchen Ave Brooklyn NY 11221,136,4.5,2,(718) 484-7458,Beer Bar,0
-OAQxe4X74oe0I7_s2E8uA,The Irish Punt,40 Exchange Pl New York NY 10005,51,3,2,(212) 422-7868,Pubs,0
-OixbLnFLCzQclxCSbUQ8w,Up Thai,1411 2nd Ave New York NY 10021,1596,4.5,2,(212) 256-1188,Thai,1
-OixbLnFLCzQclxCSbUQ8w,Up Thai,1411 2nd Ave New York NY 10021,1597,4.5,2,(212) 256-1188,Thai,1
-OjUVfNB5RcgWPSme9H3hQ,Dunkin' Donuts,149 Canal St New York NY 10002,15,2.5,1,(212) 775-8310,Donuts,0
-OplSkpDk33uikS5fO-JQw,Addictive Wine and Tapas Bar,87-01 Northern Blvd Jackson Heights NY 11372,117,5,2,(347) 832-0951,Wine Bars,0
-P7qAIG1wr_gXW3nzIq5TA,Flex Mussels,174 E 82nd St New York NY 10028,904,4,3,(212) 717-7772,Seafood,0
-P9Wu5pDLTpmV3QBxTSgYg,Anpanman Bakery Cafe,83 Canal St Ste 4 New York NY 10002,27,4,1,(212) 343-8077,Bakeries,0
-PMjjzD4JqHI-XoHBVc3ww,Kim Chayul's Myung Poom Kalbi,41-22 162nd St Flushing NY 11358,27,3.5,3,(718) 886-9292,Korean,0
-PutV-7i1h2t8MytiJfwPQ,Famous Ben's Pizza,415 Rockaway Ave Valley Stream NY 11581,19,3.5,1,(516) 837-9300,Pizza,0
-Q4DpMAFssju9sd4qMQi0A,Dara's Caterers,454 Elmora Ave Elizabeth NJ 07208,31,4,1,(908) 351-7773,Caterers,0
-QIPdiq5ILg_EJqdVoCqEA,Istanbul Kebab House,712 9th Ave New York NY 10019,420,4,2,(212) 582-8282,Turkish,0
-RXOEbEfZGhICePHtEoMPQ,England Fish & Chips,2614 Pacific Ave Long Beach CA 90806,343,4.5,1,(562) 426-7400,Seafood,0
-Rat_jVuOv_HTYjHqooGzw,Malay Restaurant,13517 40th Rd Flushing NY 11354,220,4,2,(718) 353-2901,Malaysian,0
-ReVBdHXjJ4qH9Xl2MDq3A,JK Bakery,2914 Union St Flushing NY 11354,57,4,1,(718) 539-3563,Bakeries,0
-RjWOm2CnGmzwmv4ZMfI3Q,Marina Cafe,154 Mansion Ave Staten Island NY 10308,195,3,2,(718) 967-3077,Italian,0
-RkGrQUxlwgaR5By4p2tAQ,Dunkin' Donuts,802 Woodlane Rd Westampton NJ 08060,5,2.5,1,(609) 261-1104,Donuts,0
-RpcISetVK--_Z2dvyd0Og,Eben-ezer Restaurant,126 Jefferson Ave Inwood NY 11096,2,4.5,0,(516) 812-8460,Delis,0
-SIduVU2_G5T1Cy4khN8UQ,Poke & More - Long Beach,2292 Carson St Long Beach CA 90807,535,4.5,1,(562) 988-8488,Hawaiian,0
-SM_BQ5jiqvot_kl7RKoaQ,Zack's Oak Bar & Restaurant,232 Willow Ave Hoboken NJ 07030,302,4,2,(201) 653-7770,American (Traditional),0
-TDMW5TWfFlnnRgQZ71yeg,Lacey's Bridge Tavern,75 Innis St Staten Island NY 10302,83,4,2,(718) 273-7514,Breakfast & Brunch,0
-T_5QJwgPMxfXTeOmpImsA,Char Sue,119 Essex St New York NY 10002,111,4.5,2,(646) 484-9241,Asian Fusion,0
-Td-YEPTOUq2H3LRWgRxUw,Non Solo Piada,302 W 37th St New York NY 10018,177,5,1,(212) 216-0616,Italian,0
-UPvmVCG5WQfLIA-p7KI2A,Popeyes Louisiana Kitchen,1851 Burlington Mount Holly Rd Mount Holly NJ 08060,10,2.5,1,(609) 914-4644,Fast Food,0
-UX8YtMlNX0XrDome7q4hw,Chivito De Oro,8402 37th Ave Jackson Heights NY 11372,225,4,2,(718) 424-0600,Steakhouses,0
-VTHdEpkP_0Q7pMC5uemcQ,Empire Pizza,170 Rte 130 Bordentown NJ 08505,17,4.5,1,(609) 298-0075,Pizza,0
-VvrQWfbkQWeuGC4L0KcfQ,il Buco Alimentari & Vineria,53 Great Jones St New York NY 10012,470,3.5,3,(212) 837-2622,Italian,0
-W7VgS94bFBtxlj750rPWA,Downtown Dhaba,31 Westwood Ave Westwood NJ 07675,73,4.5,2,(201) 664-0123,Indian,0
-WEs8Trhq6nZPMyTzrAn9Q,Da Noi Downtown Staten Island,138 Fingerboard Rd Staten Island NY 10305,71,4,3,(718) 720-1650,Italian,0
-WHZcPiBtW6sErlYswwUMQ,Brasserie Cognac,1740 Broadway New York NY 10019,305,3.5,3,(212) 757-3600,French,0
-X-jyF6Wblm3R3ExI-6EVg,Pasha Restaurant,70 W 71st St New York NY 10023,340,4,2,(212) 579-8751,Turkish,0
-XoP9Uo6qDsViUmFxq8gQw,Caffebene Manhasset,1504 Northern Blvd Manhasset NY 11030,29,3,2,(516) 869-8711,Coffee & Tea,0
-YazuZbXAM_NOny8LpLQpQ,BKNY Thai Restaurant,47-11 Francis Lewis Blvd Bayside NY 11361,1038,4,2,(718) 281-1900,Thai,0
-_S0v-bHKi82LH_ZGGtmIA,Yossi's Cart,Corner of Court St & Joralemon St Brooklyn NY 11201,5,4.5,1,,Food Stands,0
-_Z17vynLE_4QHTluuBsPg,Hill Country Barbecue Market,345 Adams St Brooklyn NY 11201,348,3.5,2,(718) 885-4608,Barbeque,0
-abkFgZ6YSyVDFP-oaFnyg,Sweet Retreat Donuts,924 E Pacific Coast Hwy Long Beach CA 90806,225,4.5,1,(562) 612-0506,Donuts,0
-ayJl5BQbChsHqAMBSfE0Q,Fu Zhow Restaurant,84 Eldridge St New York NY 10002,2,2.5,1,(212) 343-3905,Chinese,0
-b3J-5K_beWyGxQ1Id7KQg,Jeepney,201 1st Ave New York NY 10003,869,4,2,(212) 533-4121,Filipino,1
-bdxB20YveudeyL63chscg,Cull & Pistol Oyster Bar,75 9th Ave New York NY 10011,493,4,2,(646) 568-1223,Seafood,0
-cX7qzwkGjSu-BcCZhYAJQ,Park City Diner,101 Herricks Rd Garden City Park NY 11040,78,3,2,(516) 747-9323,Diners,0
-d8aR2Iw6Yl5ywi1R9mItg,Liedy's Shore Inn,748 Richmond Ter Staten Island NY 10301,9,4.5,1,(718) 447-9240,Bars,0
-dQexkmhlgbiKvZ94jBmjQ,Dear Irving,55 Irving Pl New York NY 10003,518,4.5,3,,Cocktail Bars,0
-eK9Wm1QwWwroDQDES0YUQ,Wojciechowskis Bologna Kitchen,2919 Rt 206 S Columbus NJ 08022,6,4,1,(609) 267-9580,Grocery,0
-eP6u2nQqZOb6mPJko_2UQ,Nile Cafe,3753 E Anaheim St Long Beach CA 90804,140,3.5,1,(562) 726-0885,Mediterranean,0
-eRqPLl5imQbVvu4nvQ-Kg,Buffalo Joe'z,801 State Rd Levittown PA 19054,1,1,0,(215) 788-3000,Restaurants,0
-egBd7SXybXjLtDj4y970g,Pacific Standard Brooklyn,82 4th Ave Brooklyn NY 11217,230,4,1,(718) 858-1951,Bars,0
-egltOQhAdo1kWlPSJfmvA,The Tippler,425 W 15th St New York NY 10011,590,4,2,(212) 206-0000,Wine Bars,0
-f3GB9AGUqLFkXorluMFTQ,Beets and Carrots,9905 3rd Ave Brooklyn NY 11209,77,4.5,2,(718) 333-5011,American (New),0
-fBPpYXr3sx_OlapFFCApg,IHOP,145 Hillside Ave Williston Park NY 11596,80,3.5,2,(516) 746-8421,Breakfast & Brunch,0
-fNmY1qYPJF79Ic_9K0RcA,William H Seward Park,Essex St And Canal St New York NY 10002,14,3.5,0,,Parks,0
-fQAKooTszBrVEDU3IOvYQ,Mi Casa,5549 Woodruff Ave Lakewood CA 90713,263,3.5,2,(562) 867-8701,Mexican,0
-fcbr1p0Uijjg3WpDDn5VA,Avlee Greek Kitchen,349 Smith St Brooklyn NY 11231,212,4,2,(718) 855-5125,Greek,0
-glyu6oks3DxOIUw5u8_xA,Harbor House Cafe,16341 Pacific Coast Hwy Sunset Beach CA 90742,866,3.5,2,(562) 592-5404,Breakfast & Brunch,0
-hUvO0C0A-pGZdiSKvjoFw,Babbo,110 Waverly Pl New York NY 10011,2185,4,4,(212) 777-0303,Italian,1
-ic13XJ9ekpEfshQFPKL4A,Grandchamps Kitchen & Market,197 Patchen Ave Bedford-Stuyvesant NY 11233,154,4,2,(718) 484-4880,Haitian,0
-j3CoVvPH3jiid77sW5DuA,Valiano Pizza,309 Bradley Ave Staten Island NY 10314,14,4,2,(718) 983-1400,Pizza,0
-jYxfK6Q1k84uUCag83Fqg,Num Pang Kitchen,28 E 12th St New York NY 10003,1343,4,1,(646) 791-0439,Cambodian,0
-jdadX3fGXA2TDapnufYFA,DOUGH By Licastri,1456 Richmond Rd Staten Island NY 10304,63,4.5,2,(718) 668-1600,Pizza,0
-kLlgcwT_Sf8Riq8wziVeA,Sushi Seki - Chelsea,208 W 23rd St New York NY 10011,116,3.5,3,(212) 255-5988,Sushi Bars,0
-kVueEw_fyO1Q2Gkmj6Few,Taqueria Santa Fe,4708 47th Ave Woodside NY 11377,257,4,1,(718) 269-9946,Mexican,0
-lwM22gXY5_1pBv7YQu8kg,Carnegie Club,156 West 56th St New York NY 10019,208,4,3,(212) 957-9676,Cocktail Bars,0
-m8hYUDP6howLkVkEzBGSg,Pronto Pizza,337 New Dorp Ln Staten Island NY 10306,39,2.5,1,(718) 351-2700,Pizza,0
-mDGXk31S7-fLHQoqS6yZw,Wild Ginger,48 Great Neck Rd Great Neck NY 11021,172,3.5,2,(516) 487-8288,Asian Fusion,0
-oEU5Pv8UxWc4KTaVB8SgQ,Golden Carriage Bakery,79 Chrystie St New York NY 10002,1,2,2,(212) 226-2272,Bakeries,0
-olla_BldF5Y84I9ezRNdA,Hourglass Tavern,373 W 46th St New York NY 10036,637,4,2,(212) 265-2060,American (Traditional),0
-p7dvuKa91_4B-aiFIFB8Q,Ten Degrees Bar,121 St Marks Pl New York NY 10009,793,4,2,(212) 358-8600,Wine Bars,0
-pab00ajP_NS1KGfILveYA,Marumi,546 Laguardia Pl New York NY 10012,364,4,2,(212) 979-7055,Sushi Bars,0
-qBoJlCNkRyskSuDWTqh8g,Dizzy's Diner,511 9th St Brooklyn NY 11215,324,3.5,2,(718) 499-1966,Diners,0
-qMrl4pSdhyvaUEw_sgbng,The Battery,State St & Battery Pl New York NY 10079,319,4.5,0,(212) 344-3491,Parks,0
-qO9s7w4krZ_Wfziqzn7Hw,Adel's Halal Food,Maiden Ln & Front St New York NY 10038,65,4,1,,Food Stands,0
-qRbyycImrGQ8HMwoU4wNg,Lety's Bakery and Café,7707 37th Ave Jackson Heights NY 11372,203,4,1,(718) 507-6539,Coffee & Tea,0
-qSOuvOti76z49v1RXE-aw,Koffeewagon Roasters,155 Rte 17 S Hasbrouck Heights NJ 07604,132,4.5,1,(201) 426-0520,Coffee & Tea,0
-qdVBHgovxcZVhJm99C9ug,Mickey's Place,40-17 Bell Blvd Bayside NY 11361,249,3.5,2,(718) 224-8152,Sushi Bars,0
-r0CBmuraX-_ef8jU7Cx2A,Kiwiana,847 Union St Brooklyn NY 11215,333,4,2,(718) 230-3682,American (New),0
-r0n8Pjuy_BOwUfgSVbl-A,Briarwood Cafe,13849 Queens Blvd Jamaica NY 11435,67,3.5,2,(718) 297-7494,Diners,0
-rCC3ogusmdA7AQB_hybHA,Ellie's Diner,58 Metropolitan Oval Bronx NY 10462,92,3,2,(718) 239-9870,Diners,0
-rqqnZeGmwyfkqoRskSO1g,Koroni Souvlaki and Grill,29-37 Newtown Ave Astoria NY 11102,130,5,2,(718) 489-8820,Mediterranean,0
-sfIp9hwE4e7aJCg-f4hgw,Desnuda,221 S 1st St Brooklyn NY 11211,161,4,2,(718) 387-0563,Seafood,0
